System,Chains,Sweeps,Accuracy
JAGS,9,24,0.15
JAGS,10,24,0.1
JAGS,11,24,0.1
JAGS,12,24,0.15
JAGS,13,24,0.15
JAGS,14,24,0.05
JAGS,15,24,0.05
JAGS,16,24,0.15
JAGS,17,24,0.05
JAGS,18,24,0.1
JAGS,19,24,0.05
JAGS,20,24,0.05
JAGS,21,24,0.05
JAGS,22,24,0.15
JAGS,23,24,0.15
JAGS,24,24,0.15
JAGS,25,24,0.1
JAGS,26,24,0.15
JAGS,27,24,0.1
JAGS,28,24,0
JAGS,29,24,0.05
JAGS,30,24,0.15
JAGS,31,24,0.1
JAGS,32,24,0.05
JAGS,33,24,0
JAGS,34,24,0.1
JAGS,35,24,0.15
JAGS,36,24,0.15
JAGS,37,24,0
JAGS,38,24,0.1
JAGS,39,24,0.05
JAGS,40,24,0.1
JAGS,1,25,0
JAGS,2,25,0.1
JAGS,3,25,0.05
JAGS,4,25,0.15
JAGS,5,25,0.1
JAGS,6,25,0.05
JAGS,7,25,0.15
JAGS,8,25,0.05
JAGS,9,25,0.15
JAGS,10,25,0.1
JAGS,11,25,0.1
JAGS,12,25,0.15
JAGS,13,25,0.15
JAGS,14,25,0.05
JAGS,15,25,0.05
JAGS,16,25,0.15
JAGS,17,25,0.05
JAGS,18,25,0.1
JAGS,19,25,0.05
JAGS,20,25,0.05
JAGS,21,25,0.05
JAGS,22,25,0.15
JAGS,23,25,0.2
JAGS,24,25,0.15
JAGS,25,25,0.1
JAGS,26,25,0.15
JAGS,27,25,0.1
JAGS,28,25,0
JAGS,29,25,0.05
JAGS,30,25,0.15
JAGS,31,25,0.1
JAGS,32,25,0.05
JAGS,33,25,0
JAGS,34,25,0.1
JAGS,35,25,0.15
JAGS,36,25,0.15
JAGS,37,25,0
JAGS,38,25,0.1
JAGS,39,25,0.05
JAGS,40,25,0.1
JAGS,1,26,0
JAGS,2,26,0.1
JAGS,3,26,0.05
JAGS,4,26,0.15
JAGS,5,26,0.1
JAGS,6,26,0.1
JAGS,7,26,0.15
JAGS,8,26,0.05
JAGS,9,26,0.15
JAGS,10,26,0.1
JAGS,11,26,0.1
JAGS,12,26,0.15
JAGS,13,26,0.15
JAGS,14,26,0.05
JAGS,15,26,0.05
JAGS,16,26,0.15
JAGS,17,26,0.05
JAGS,18,26,0.1
JAGS,19,26,0.05
JAGS,20,26,0
JAGS,21,26,0.05
JAGS,22,26,0.15
JAGS,23,26,0.15
JAGS,24,26,0.15
JAGS,25,26,0.1
JAGS,26,26,0.15
JAGS,27,26,0.1
JAGS,28,26,0
JAGS,29,26,0.05
JAGS,30,26,0.15
JAGS,31,26,0.1
JAGS,32,26,0.05
JAGS,33,26,0
JAGS,34,26,0.1
JAGS,35,26,0.15
JAGS,36,26,0.15
JAGS,37,26,0
JAGS,38,26,0.1
JAGS,39,26,0.05
JAGS,40,26,0.1
JAGS,1,27,0.05
JAGS,2,27,0.1
JAGS,3,27,0.05
JAGS,4,27,0.15
JAGS,5,27,0.1
JAGS,6,27,0.1
JAGS,7,27,0.15
JAGS,8,27,0.05
JAGS,9,27,0.15
JAGS,10,27,0.1
JAGS,11,27,0.15
JAGS,12,27,0.15
JAGS,13,27,0.15
JAGS,14,27,0.05
JAGS,15,27,0.05
JAGS,16,27,0.1
JAGS,17,27,0.05
JAGS,18,27,0.1
JAGS,19,27,0.05
JAGS,20,27,0
JAGS,21,27,0.05
JAGS,22,27,0.15
JAGS,23,27,0.15
JAGS,24,27,0.15
JAGS,25,27,0.1
JAGS,26,27,0.15
JAGS,27,27,0.1
JAGS,28,27,0
JAGS,29,27,0.05
JAGS,30,27,0.15
JAGS,31,27,0.1
JAGS,32,27,0.05
JAGS,33,27,0
JAGS,34,27,0.1
JAGS,35,27,0.15
JAGS,36,27,0.15
JAGS,37,27,0
JAGS,38,27,0.1
JAGS,39,27,0.05
JAGS,40,27,0.1
JAGS,1,28,0.05
JAGS,2,28,0.1
JAGS,3,28,0.05
JAGS,4,28,0.15
JAGS,5,28,0.1
JAGS,6,28,0.1
JAGS,7,28,0.1
JAGS,8,28,0.05
JAGS,9,28,0.15
JAGS,10,28,0.1
JAGS,11,28,0.15
JAGS,12,28,0.15
JAGS,13,28,0.15
JAGS,14,28,0.05
JAGS,15,28,0.05
JAGS,16,28,0.1
JAGS,17,28,0.05
JAGS,18,28,0.1
JAGS,19,28,0.05
